,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science
778,779,> 600,West Liberty University,30.3-43.2,779,-,748,-,615,-,700,-,745,594938,West Virginia,"$15,020","$9,320","$34,800",0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
779,780,> 600,Western Carolina University,30.3-43.2,780,-,646,17.1,75,-,637,-,609,593864,North Carolina,"$17,290","$9,553","$36,567",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0
780,781,> 600,Western Connecticut State University,30.3-43.2,781,-,459,-,713,-,740,6.0,251,592127,Connecticut,"$23,107","$12,417","$43,967",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
781,782,> 600,Western Kentucky University,30.3-43.2,782,-,613,17.0,92,-,768,-,478,592694,Kentucky,"$25,512","$8,350","$34,100",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
782,783,> 600,Western Oregon University,30.3-43.2,783,-,604,-,738,-,737,5.5,320,594116,Oregon,"$25,653","$10,203","$38,633",0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
783,784,> 600,Westfield State University,30.3-43.2,784,-,688,-,759,-,453,-,502,592997,Massachusetts,"$15,795","$10,689","$44,300",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
784,785,> 600,Wichita State University,30.3-43.2,785,-,689,-,616,-,701,5.6,308,592640,Kansas,"$17,390","$10,000","$39,767",1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1
785,786,> 600,Wingate University,30.3-43.2,786,-,497,-,638,-,707,-,424,593858,North Carolina,"$31,120","$10,780","$40,467",0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0
786,787,> 600,Winona State University,30.3-43.2,787,-,700,16.1,310,-,500,-,678,593174,Minnesota,"$15,302","$8,730","$43,200",1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1
787,788,> 600,Winthrop University,30.3-43.2,788,-,535,15.9,370,-,755,5.1,369,594482,South Carolina,"$29,266","$8,740","$36,100",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1
788,789,> 600,University of Wisconsin-Eau Claire,30.3-43.2,789,-,745,-,436,-,436,-,639,594995,Wisconsin,"$16,736","$7,506","$44,300",1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
789,790,> 600,University of Wisconsin-Green Bay,30.3-43.2,790,-,766,-,727,-,639,-,584,594998,Wisconsin,"$15,728","$7,306","$39,233",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0
790,791,> 600,University of Wisconsin-Oshkosh,30.3-43.2,791,-,703,16.1,312,-,657,-,763,595007,Wisconsin,"$15,160","$7,792","$41,367",0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
791,792,> 600,University of Wisconsin-Parkside,30.3-43.2,792,-,755,-,785,-,772,6.4,204,595010,Wisconsin,"$15,378","$7,512","$38,100",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0
